Team Name,Wins,Losses
Houston Rockets,65,17
Toronto Raptors,59,23
Golden State Warriors,58,24
Boston Celtics,55,27
Philadelphia 76ers,52,30
Cleveland Cavaliers,50,32
Portland Trail Blazers,49,33
Indiana Pacers,48,34
New Orleans Pelicans,48,34
Oklahoma City Thunder,48,34
Utah Jazz,48,34
Minnesota Timberwolves,47,35
San Antonio Spurs,47,35
Denver Nuggets,46,36
Miami Heat,44,38
Milwaukee Bucks,44,38
Washington Wizards,43,39
Los Angeles Clippers,42,40
Detroit Pistons,39,43
Charlotte Hornets,36,46
Los Angeles Lakers,35,47
New York Knicks,29,53
Brooklyn Nets,28,54
Chicago Bulls,27,55
Sacramento Kings,27,55
Orlando Magic,25,57
Atlanta Hawks,24,58
Dallas Mavericks,24,58
Memphis Grizzlies,22,60
Phoenix Suns,21,61
